id size
12382740 8038755
22798006 7026853
10639516 6908382
31836774 6601842
43215063 6432644
27895931 6313288
29246653 6015566
28477986 5842197
22822305 5683399
56106344 5623925
40567146 5568643
26750264 5527227
30179569 5506633
23064236 5009462
43879004 4862407
26419239 4861575
30277672 4519134
29559271 4382564
55156099 4380800
45064245 4371217
40498005 4351790
39728801 4328493
26669118 4228675
460389 4215460
36164349 4166280
48319873 4159740
39410028 4148981
23433159 4146181
32194285 4105223
34384434 4103932
